varSource,DAM_NAME,varMaterial,sintYearCommissioned,decCrestElevation,decCrestLength,decHeight,decCapacity,LATITUDE_DD,LONGITUDE_DD,,,OWNERSHIP,Maj_Upgrad,Structure,Start Construction,Turbine Generations ,Spillways,Intake Gates,Powerhouse length (m),
ODI ,Burditt Lake Dam,,,,,,,48.8932936,-93.765792,,,Provincial,,,,,,,,
ODI ,Footprint Lake Dam,,,,,,,48.8800762,-93.5747548,,,Provincial,,,,,,,,
ODI ,Turtle Lake Dam (Fort Frances),,,,,,,48.9443386,-92.0038953,,,Provincial,,,,,,,,
ODI ,West Arm Dam #3,,,,,,,48.7726973,-91.6825919,,,Provincial,,,,,,,,
ODI ,McKenzie Lake Dam,,,,,,,50.2558926,-89.0766076,,,Provincial,,,,,,,,
ODI ,Cumming's Lake Dam,,,,,,,46.4571419,-83.3608772,,,Provincial,,,,,,,,
ODI ,D 02-08531,,,,,,,48.8247619,-91.6285174,,,Private,,,,,,,,
ODI ,Hazelwood Lake Dam,,,,,,,48.5858361,-89.2816871,,,Conservation Authority,,,,,,,,
ODI ,Misema Weir,,,,,,,47.9016702,-79.8720757,,,Private,,,,,,,,
ODI ,,,,,,,,42.6439593,-80.5279349,,,Private,,,,,,,,
ODI ,Mad River Tributary:8179,,,,,,,44.27723,-80.30653,,,Private,,,,,,,,
ODI ,Bear Creek Tributary:7853,,,,,,,44.3197627,-79.7972955,,,Private,,,,,,,,
ODI ,Noisy River Tributary:7785,,,,,,,44.29285,-80.1628,,,Private,,,,,,,,
ODI ,,,,,,,,44.20322,-80.1488,,,Private,,,,,,,,
ODI ,,,,,,,,44.1528724,-80.0376805,,,Private,,,,,,,,
ODI ,,,,,,,,44.355522,-79.040618,,,Private,,,,,,,,
ODI ,,,,,,,,44.080484,-79.210639,,,Private,,,,,,,,
ODI ,Katchewanooka: Lake Trib:30356,,,,,,,44.4649,-78.2851,,,Private,,,,,,,,
ODI ,,,,,,,,44.5479202,-77.3275508,,,Private,,,,,,,,
ODI ,,,,,,,,44.3722653,-77.0238821,,,Private,,,,,,,,
ODI ,Temperance Lake Dam,,,,,,,44.601335,-75.872548,,,Conservation Authority,,,,,,,,
ODI ,GSCA022 (INGLIS FALLS DAM (GSCA)),,,,,,,44.5259336,-80.9338629,,,Conservation Authority,,,,,,,,
ODI ,GSCA014 (MEAFORD GOLF CLUB DAM),,,,,,,44.6116916,-80.6092045,,,Private,,,,,,,,
ODI ,GSCA062,,,,,,,44.5585953,-80.9804035,,,Private,,,,,,,,
ODI ,Fleetwood Creek:7162,,,,,,,44.1588348,-78.593512,,,Private,,,,,,,,
ODI ,Main Orangeville Reservoir Dam,,,,,,,43.9273306,-80.0840513,,,Private,,,,,,,,
ODI ,Wabukayne Lake,,,,,,,43.5815231,-79.7384275,,,Municipal,,,,,,,,
ODI ,,,,,,,,42.9945259,-79.2501422,,,Private,,,,,,,,
ODI ,,,,,,,,43.1303707,-79.1810035,,,Private,,,,,,,,
ODI ,ABCA103,,,,,,,43.3586999,-81.4573662,,,Conservation Authority,,,,,,,,
ODI ,Warwick CA Dam,,,,,,,42.996849,-81.944987,,,Conservation Authority,,,,,,,,
ODI ,Tillsonburg Dam,,,,,,,42.8697907,-80.7526743,,,Municipal,,,,,,,,
ODI ,,,,,,,,42.9910985,-80.605417,,,Private,,,,,,,,
ODI ,Mink Lake Dam,,,,,,,45.2276782,-78.1024532,,,Provincial,,,,,,,,
ODI ,Rainy Lake (South Anson) Dam,,,,,,,44.9329027,-78.9187787,,,Provincial,,,,,,,,
ODI ,Westport Sand Lake Dam,,,,,,,44.6836649,-76.4076719,,,Provincial,,,,,,,,
ODI ,Wabatongushi Lake Dam,,,,,,,48.3782384,-84.2064413,,,Private,,,,,,,,
ODI ,Divine Lake Dam,,,,,,,45.1904448,-79.2371757,,,Provincial,,,,,,,,
ODI ,Camp Lake Dam,,,,,,,46.2316243,-82.4418729,,,Private,,,,,,,,
ODI ,Moose Lake Dam,,,,,,,45.8154684,-80.3747617,,,Provincial,,,,,,,,
ODI ,Noganosh Plug Dam,,,,,,,45.8207768,-80.3012944,,,Provincial,,,,,,,,
ODI ,Lake on the Mountain Dam,,,,,,,44.039656,-77.057104,,,Provincial,,,,,,,,
ODI ,Maley Dam,,,,,,,46.5433441,-80.9224017,,,Conservation Authority,,,,,,,,
ODI ,Turtle Lake Dam (North Bay),,,,,,,46.3073158,-79.1687726,,,Provincial,,,,,,,,
ODI ,Lang Lake Dam,,,,,,,46.1548153,-81.6758178,,,Provincial,,,,,,,,
ODI ,McCauley Lake (Fox Lake) Dam,,,,,,,46.6095968,-81.7144694,,,Provincial,,,,,,,,
ODI ,Agonzon Lake Dam,,,,,,,49.021905,-85.8233597,,,Provincial,,,,,,,,
ODI ,Ivanhoe Lake Dam,,,,,,,48.1827219,-82.500735,,,Provincial,,,,,,,,
ODI ,KAPUSKASING,,,,,,,49.4130287,-82.4300918,,,Private,,,,,,,,
ODI ,Hinsburger (Gull Lake) Dam,,,,,,,45.9672912,-79.2306831,,,Provincial,,,,,,,,
ODI ,Trolling Lake Block Dam,,,,,,,46.8499574,-83.2338832,,,Private,,,,,,,,
ODI ,Perry's Creek Dam 3,,,,,,,44.5591,-78.2153,,,Federal,,,,,,,,
ODI ,Middle Cavan Creek (Trout):30488,,,,,,,44.2035,-78.4577,,,Private,,,,,,,,
ODI ,Stobie Dam,,,,,,,46.3927738,-82.5850188,,,Private,,,,,,,,
ODI ,Round Lake Dam,,,,,,,46.9696442,-83.0687453,,,Private,,,,,,,,
ODI ,Lake Lavieille Dam,,,,,,,45.8927381,-78.2030017,,,Provincial,,,,,,,,
ODI ,Longbow Lake Dam,,,,,,,45.7529313,-78.903318,,,Provincial,,,,,,,,
ODI ,Methuen Lake Dam,,,,,,,44.7088713,-77.9167421,,,Provincial,,,,,,,,
ODI ,Aylen Lake Dam,,,,,,,45.589349,-77.8707493,,,Provincial,,,,,,,,
ODI ,West Nipissing Power GS Dam,,,,,,,46.369079,-79.9336412,,,Private,,,,,,,,
ODI ,Delta Dam,,,,,,,44.6104803,-76.1220009,,,Provincial,,,,,,,,
ODI ,Billings Dam,,,,,,,44.9226063,-78.3684767,,,Provincial,,,,,,,,
ODI ,Swift Rapids GS,,,,,,,44.8563995,-79.5398025,,,Private,,,,,,,,
ODI ,Nine Mile Lake Dam,,,,,,,45.4372333,-80.0570667,,,Private,,,,,,,,
ODI ,,,,,,,,45.286453,-74.6519828,,,Conservation Authority,,,,,,,,
ODI ,,,,,,,,44.860754,-76.315612,,,Private,,,,,,,,
ODI ,,,,,,,,45.0666876,-75.8214962,,,Private,,,,,,,,
ODI ,Fleet Street Pumping Station,,,,,,,45.416164,-75.711068,,,Municipal,,,,,,,,
